Gene_Proteins,EAA30,EAA13,PPS15,PPS24,PPS40,PPS47,PPS52,PPS64,PPS67,Young_Average,Young_SD,T-Test (Young to Pre-Old),T_Test_Young_to_Post,PRE_S03,PRE_S05,PRE_S10,PRE_S12,PRE_S15,PRE_S17,PRE_S24,PRE_S30,PRE_S32,PRE_S02,PRE_S04,PRE_S09,PRE_S11,PRE_S14,PRE_S16,PRE_S19,PRE_S21,PRE_S31,Old_Pre_Average,Old_Pre_SD,T_Test_Pre_to_Post),POST_S03,POST_S05,POST_S10,POST_S12,POST_S15,POST_S17,POST_S24,POST_S30,POST_S32,POST_S02,POST_S04,POST_S09,POST_S11,POST_S14,POST_S16,POST_S19,POST_S21,POST_S31,Old_Post_Average,Old_Post_SD
ERGIC2_Endoplasmic reticulum-Golgi intermediate compartment protein 2,1.5413,0.4895,0,0.5952,0,0.4386,0.7536,0.4584,0.2876,0.5071,0.4621,0.3548,0.0555,0.4452,0.7607,0.8196,0.3266,0.7467,0.6988,1.2556,0.7402,0.3835,0.7028,0.8075,0,0,0.6866,1.0635,0.9335,0.6152,0.7295,0.6509,0.3234,0.0552,1.5838,1.4829,0.7542,0.622,1.3833,0.903,0.7692,0,0.9611,0.8885,0.7384,0,0.9685,0.5262,0.889,1.9903,1.112,0.7361,0.906,0.4977
"ERGIC3;GN=_Endoplasmic reticulum-Golgi intermediate compartment protein 3;Isoform of Q9Y282, Isoform 3 of Endoplasmic reticulum-Golgi intermediate compartment protein 3",1.2755,1.9112,1.4083,1.1089,1.5124,2.0521,1.4469,1.47,1.4853,1.519,0.2929,0.1038,0.6415,1.3214,2.0068,1.5993,1.3872,2.3162,0.7399,0,0.9628,1.1782,1.5408,1.4809,1.0573,0.8203,0.8204,1.6332,1.179,0.4119,0.8377,1.183,0.5559,0.066,2.5439,2.4582,1.7592,1.4853,1.6843,2.0998,2.0765,1.0243,0.7379,1.5356,1.1479,2.0192,1.8471,1.0631,0.6883,4.1603,1.6494,0,1.6656,0.902
ERI3_ERI1 exoribonuclease 3,6.8911,5.2676,5.3926,6.3838,6.5989,5.6143,4.0902,6.3271,6.4462,5.8902,0.8803,0.0201,0.1104,5.0517,8.4219,8.0153,8.5021,6.1344,5.417,8.633,5.8378,7.374,6.1087,8.1288,7.9982,7.9303,5.2336,7.7759,6.3828,8.0676,5.9512,7.0536,1.2541,0.5347,7.5492,4.6369,7.5755,5.3397,9.4978,6.531,8.1813,6.6088,5.333,5.1603,6.5165,5.774,7.4506,6.0696,6.3592,9.1713,8.5352,5.3599,6.7583,1.4363
"ERLEC1;GN=_Endoplasmic reticulum lectin 1;Isoform of Q96DZ1, Isoform 3 of Endoplasmic reticulum lectin 1",2.0393,1.2403,0.5556,0.5895,0.4605,0.898,1.0647,0.9062,0.6509,0.9339,0.4874,0.1551,0.0184,1.4114,0.9746,1.1372,0,1.0396,1.3806,1.3566,1.7264,1.8235,1.1686,1.5043,1.3326,1.562,0.8095,1.0623,1.2196,1.0943,0.8849,1.1938,0.4067,0.0693,2.4541,1.8773,1.4778,1.1115,3.2421,1.3338,1.191,0.6392,1.3727,1.5363,1.238,1.2571,1.8728,0.6843,1.3152,2.0395,1.2856,1.5709,1.5277,0.6143
ERLIN1_Erlin-1,3.7522,5.3126,0,2.6429,4.5224,5.3014,4.8735,5.6794,3.3979,3.9425,1.7857,0.3057,0.0463,4.7363,4.1554,4.3194,2.7665,4.2675,3.4687,8.9673,4.5305,4.6914,4.8657,3.8021,4.8438,5.1867,3.7136,7.9351,3.213,5.4582,2.7733,4.6497,1.5924,0.0401,10.4279,4.0283,6.9361,4.0153,5.9707,8.806,8.4338,3.7224,4.6395,3.828,3.9602,5.113,10.5559,0,6.5118,9.4217,9.0472,4.9109,6.1294,2.8461
ERLIN2_Erlin-2,41.1044,43.0536,32.0849,30.1564,24.8353,45.7713,39.4498,36.9323,29.7171,35.9006,7.0496,0.7635,0.1218,41.9504,31.2617,29.0082,25.3528,29.3679,33.1406,74.8791,37.6659,33.1132,31.9116,36.7305,37.2212,30.8383,30.29,82.861,27.0528,35.5342,28.2294,37.5783,15.6519,0.0985,75.7353,27.7283,51.2994,36.7638,44.64,59.3581,69.378,20.9614,26.569,35.5118,29.162,25.6554,62.2435,35.9881,53.4689,50.3186,60.8438,45.5572,45.0657,16.2942
ERMP1_Endoplasmic reticulum metallopeptidase 1,8.6534,12.9601,9.0824,4.2981,6.9306,6.2646,8.0213,6.968,6.6805,7.7621,2.4072,0.0308,0.0046,13.9071,7.3997,13.5276,11.9378,8.3825,9.7895,15.0335,21.9608,12.6503,13.8947,7.4084,10.4976,7.9048,8.4528,12.7953,7.9967,7.7347,6.7749,11.0027,3.8691,0.1934,15.1669,14.0936,15.7475,11.0642,13.8364,18.6115,20.0273,7.1816,6.6877,15.9468,7.8835,8.9759,18.3187,6.2439,17.9763,12.1823,14.8053,7.1344,12.8824,4.6037
ERN1_Serine/threonine-protein kinase/endoribonuclease IRE1,0,0,1.321,0.6611,0,0,1.0367,0,0,0.3354,0.5297,0.005,0.0008,0.9637,2.0578,1.3223,1.0293,1.1649,0.7846,1.4637,0.4587,0,1.8965,1.983,1.7426,0.4864,0.5393,1.4222,0.5661,0.4811,0.8132,1.0653,0.6038,0.7982,1.6592,0.9396,1.5766,1.3373,1.4908,1.0914,0.8728,0,0.7636,1.8309,1.7407,0.8741,0.9949,0.9435,1.4666,0.6924,0.7325,0.7382,1.0969,0.4695
ERO1A_ERO1-like protein alpha,8.0036,9.0201,8.3349,9.6667,16.2805,11.6975,8.7326,11.5853,8.7762,10.2331,2.6288,0.548,0.3036,7.7079,12.9007,10.733,8.3488,10.2276,7.4827,11.9498,6.4602,9.2983,11.504,11.8448,10.8966,10.9772,9.3843,13.0302,6.186,8.7831,5.728,9.6357,2.2883,0.0636,16.3832,12.8861,11.151,10.7949,11.9158,15.4803,14.5252,7.4786,4.8348,9.7808,11.1075,12.7022,14.7433,7.8119,10.2992,20.0368,12.9633,6.0821,11.7209,3.8022
ERP29_Endoplasmic reticulum resident protein 29,4.2159,12.2775,3.5588,2.7358,6.7014,7.345,3.6995,4.2502,2.8934,5.2975,3.0633,0.0902,0.6031,1.8644,2.9168,3.8745,2.359,3.6414,2.1785,3.9551,4.9085,7.5093,3.0009,2.2726,3.415,6.2458,4.6752,4.8725,1.5963,3.77,4.4514,3.7504,1.5441,0.0378,5.0711,4.0006,2.7003,3.3191,9.4086,4.8571,8.1644,21.2677,3.0696,3.5512,4.3413,9.0008,6.3168,2.9639,4.187,8.911,4.9002,4.7748,6.1558,4.3612
ERP44_Endoplasmic reticulum resident protein 44,11.2406,14.3519,6.7112,5.9099,13.9113,10.9268,11.605,10.902,5.7439,10.1447,3.2691,0,0.0647,1.8921,5.9719,5.0434,5.3386,6.2226,2.0719,3.5372,5.4746,12.5199,3.6589,3.582,3.5579,4.2677,1.993,4.1357,2.6553,5.239,6.7189,4.66,2.4537,0.0527,7.9744,5.3079,3.8204,5.0947,12.9845,7.3262,8.1512,16.0111,2.2186,2.7975,3.4136,12.3788,7.4421,4.4613,3.0676,12.7271,5.9131,7.6306,7.1512,4.0175
ESAM_Endothelial cell-selective adhesion molecule,10.5121,9.3285,3.4914,4.9714,8.675,8.4255,3.9377,8.8962,6.0605,7.1442,2.5663,0.1136,0.4522,4.6051,4.7273,7.9766,3.2279,4.8403,5.2561,8.7955,4.5087,7.5998,5.1493,5.3843,8.1939,5.9743,5.0315,8.267,4.5689,5.3746,5.4363,5.8287,1.6065,0.4656,7.055,6.2434,6.8048,7.5617,8.2685,9.1745,7.9547,2.0889,3.6457,3.6155,4.9764,6.8136,10.0808,1.5833,7.2912,10.0677,7.463,3.4935,6.3435,2.5692
ESD_S-formylglutathione hydrolase,7.7017,8.6678,6.2893,6.2428,8.4522,7.9194,8.4615,10.0579,17.5755,9.0409,3.4122,0.331,0.2199,4.6477,15.0769,7.2681,16.0593,25.994,5.0543,9.2121,18.0738,10.7548,5.4356,6.4957,7.5769,20.6201,24.2047,7.9754,6.2533,8.4498,6.9136,11.4481,6.8217,0.1154,9.8787,11.4505,8.2283,11.1666,61.6913,7.2374,10.6469,59.5006,5.1544,4.5548,5.924,9.0945,27.258,26.7337,6.166,12.3461,10.3613,8.1895,16.4212,17.2641
ETF1_Eukaryotic peptide chain release factor subunit 1,11.6731,21.4195,10.2071,9.1533,15.2079,18.6377,12.1296,9.8743,6.874,12.7974,4.738,0.0002,0.1701,3.906,6.8283,7.7272,5.5979,8.7171,4.7061,8.3169,6.5185,13.0197,7.9937,6.7831,7.13,5.7689,4.7808,8.5026,5.9664,7.1986,7.5614,7.0568,2.0238,0.0329,9.074,7.8131,6.5375,6.1733,17.367,10.2797,16.1481,13.0173,5.9796,5.2975,7.6316,23.3281,9.8922,4.1885,8.7418,13.4347,8.5352,6.0906,9.9739,4.9683
"ETFA_Electron transfer flavoprotein subunit alpha, mitochondrial",86.6938,99.2452,42.9043,126.7008,131.513,60.9808,167.4731,179.8483,89.3525,109.4124,45.9761,0.0069,0.0004,138.1452,219.1857,178.5337,210.7297,195.1968,152.0059,290.4428,77.5619,184.205,160.6009,268.6749,206.4856,166.2993,148.3883,237.9852,92.5363,115.6767,109.4715,175.1181,58.2996,0.048,207.3472,155.9636,340.3394,214.7931,119.9566,290.1886,296.157,112.2848,106.1146,185.2137,224.7071,292.1321,201.3696,152.6366,269.0304,241.6733,289.545,168.8328,214.9047,70.8179
ETFB_Electron transfer flavoprotein subunit beta,132.5525,76.2272,85.6645,116.5412,130.969,84.819,144.3926,271.5853,128.0876,130.0932,58.4639,0.0042,0.006,162.1197,220.705,253.8167,194.2342,197.3662,214.4177,262.8819,79.8268,177.093,200.5155,345.6424,267.9722,184.2852,231.6326,210.6929,217.0261,181.3619,107.5725,206.0646,59.2306,0.3521,167.2623,228.204,356.6254,262.2529,314.0683,227.5518,197.707,78.4189,117.483,308.4418,247.4667,327.7776,235.9902,108.7073,302.4136,178.8252,212.5769,126.2574,222.1128,81.6528
"ETFDH_Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial",123.7052,129.2736,111.6608,81.9557,142.8462,96.1819,258.6694,201.5609,152.9702,144.3138,55.1746,0.2957,0.2033,89.7296,294.5861,208.4108,194.2789,198.1859,70.7556,262.9424,94.8962,216.2228,176.664,209.2315,304.642,131.7925,136.584,187.3053,81.0797,136.5042,122.4338,173.1247,70.6244,0.9276,222.4324,183.199,265.6515,263.9492,194.9504,193.7226,239.1234,53.0177,125.0187,116.9696,185.6166,159.617,149.037,120.1873,125.6902,214.5995,222.4416,113.7252,174.9416,58.4531
ETFRF1_Electron transfer flavoprotein regulatory factor 1,11.7135,6.6116,5.769,4.4135,7.8808,6.3066,4.3949,3.7231,3.2554,6.0076,2.6104,0.0046,0.8801,4.1289,2.8328,2.7197,2.244,2.4175,3.8518,2.176,5.4507,6.6146,5.1044,4.9938,4.5153,4.8172,1.9068,2.9117,3.1872,3.72,2.0179,3.645,1.372,0.0018,7.8958,4.4949,5.8025,3.2947,12.9248,9.0112,4.0237,7.6952,2.9065,5.8448,3.8718,6.7294,8.8266,3.9926,3.8063,7.595,7.6668,4.6715,6.1697,2.6017
"ETHE1_Persulfide dioxygenase ETHE1, mitochondrial",14.9344,15.8201,10.1181,12.4675,16.5146,14.0505,15.3654,14.9488,11.5082,13.9698,2.1475,0.2339,0.3225,7.6495,16.1999,12.38,14.369,13.5667,6.1583,15.8694,11.2655,19.9849,11.2214,15.0012,12.4506,11.7541,11.5106,13.9492,10.5806,7.855,12.8145,12.4767,3.3242,0.0564,18.5096,10.5469,16.7846,11.3115,20.7026,15.4768,15.3611,19.223,12.9234,14.5069,13.6747,14.6784,15.4737,12.3214,9.1686,23.1488,15.7549,15.3482,15.273,3.5415
EVA1B_Protein eva-1 homolog B,1.3746,1.4987,0,0,0.8912,0.9337,0.9197,1,0.8859,0.8338,0.5215,0.5291,0.5307,0.9004,0.7589,0.7283,0,0.5152,1.1232,1.4367,0.7222,2.2657,1.0003,1.2098,1.374,1.8646,0.8598,1.2135,0.8662,0.7395,0,0.9766,0.5602,0.9687,1.363,1.2295,1.1891,1.3376,0,1.4174,1.5632,0,0.7174,1.7562,0.9428,0.7948,1.5889,1.2327,1.2477,1.3117,0,0,0.9829,0.5979
"EWSR1;GN=;GN=;GN=_RNA-binding protein EWS;Isoform of Q01844, Isoform 3 of RNA-binding protein EWS;Isoform of Q01844, Isoform 5 of RNA-binding protein EWS;Isoform of Q01844, Isoform 6 of RNA-binding protein EWS",2.6977,2.4633,4.712,4.7302,2.9381,3.6508,6.9622,2.486,4.0917,3.8591,1.4681,0.0016,0.0017,8.3509,7.0406,9.2092,6.2205,4.9405,9.7445,18.7915,2.6494,8.4665,6.5879,10.4599,7.1432,8.3462,8.0205,9.3444,7.4802,8.0806,3.9147,8.044,3.3521,0.4963,6.0743,5.9337,10.6466,6.8033,9.4585,9.1576,10.1911,2.066,3.9662,9.9718,11.288,3.3295,9.1116,7.2503,8.1527,4.7003,12.0342,5.2307,7.5204,2.9224
EXD2_Exonuclease 3'-5' domain-containing protein 2,2.2876,0.9001,0,1.1086,0,1.8698,2.879,1.6323,1.2215,1.3221,0.9671,0.0021,0.0067,2.0391,2.5021,2.3341,2.1126,1.85,2.4715,4.0138,1.9781,1.8404,2.2343,2.7646,3.5091,2.294,2.3324,3.4163,2.7022,1.6205,1.4214,2.4131,0.674,0.6502,4.2169,2.3923,3.3932,2.2188,2.1864,3.6181,3.4956,0,2.1256,2.4962,1.906,2.2028,3.8503,1.3822,3.1268,2.6787,2.6407,1.5394,2.5261,1.0127
EXD3_Exonuclease mut-7 homolog,0,2.0526,0,4.7466,1.3838,0,1.9022,0,0,1.1206,1.6192,0.2432,0.0337,0,11.6068,8.5589,0,4.5391,0,0,0.8003,2.3394,0,0,0,0,3.1989,7.5292,3.3932,2.8797,1.6734,2.5844,3.4641,0.2288,0,7.5426,0,0,4.7133,6.0517,0,0.8652,1.8935,11.2895,10.7156,5.4197,0,4.0753,5.7082,4.9105,5.8306,2.5238,3.9744,3.606
"EXOC1;GN=_Exocyst complex component 1;Isoform of Q9NV70, Isoform 2 of Exocyst complex component 1",2.3517,2.1643,0.9014,1.5652,1.8581,0.9462,2.0396,1.6901,1.0967,1.6237,0.5381,0.7053,0.2837,1.2227,1.4836,1.3299,1.3333,1.9252,1.3454,2.8991,1.5082,1.848,1.6031,1.3691,1.753,1.5765,1.6229,2.4297,1.8425,1.8237,1.5999,1.6953,0.4158,0.1642,2.6019,2.1788,1.5639,1.2578,2.8075,1.77,2.4662,1.3011,2.0695,0.809,1.3241,2.3098,1.5948,1.1791,2.3599,3.1091,2.0764,1.3501,1.8961,0.6396
EXOC2_Exocyst complex component 2,33.7045,47.1422,41.505,31.5849,25.0593,40.9631,45.9563,44.1984,26.3334,37.383,8.4122,0.0059,0.0012,57.1131,76.0523,67.2079,52.5806,59.3981,44.0211,132.6663,33.896,47.0437,79.9186,88.7416,75.1086,41.5902,45.0194,88.2978,51.0637,39.87,49.3402,62.7183,24.3012,0.1806,78.5956,69.0754,96.9644,67.4404,75.6352,55.7032,136.3082,21.9948,41.493,69.8994,78.9981,48.4149,64.4012,48.4684,78.9044,73.5409,67.4708,51.8868,68.0664,24.2042
EXOC3_Exocyst complex component 3,0,0,0,0,0,0,0,0,0,0,0,0.3173,0.1025,0,0,0,0.938,0.9752,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1063,0.3094,0.1608,1.6592,0,0,0,0,0.5941,0,0,0,0,0,1.4183,1.6334,0,0,1.5154,0,0,0.3789,0.6641
EXOC4_Exocyst complex component 4,6.024,9.2174,4.0926,3.2899,14.5134,5.1724,5.4544,5.6183,4.4505,6.4259,3.4589,0.2674,0.8223,3.1896,7.9107,4.1364,5.4755,4.9088,3.1086,10.3911,4.8725,3.845,5.0332,4.7877,6.9405,5.2625,3.7584,6.0709,3.4278,4.7309,7.0909,5.2745,1.8606,0.0218,9.7252,9.5923,5.3767,3.5369,7.0263,6.6219,10.7751,5.0608,4.7432,3.6794,4.144,7.714,8.3214,4.7969,5.384,10.2572,5.6353,7.8498,6.68,2.3298
EXOC5_Exocyst complex component 5,2.5597,2.662,2.9168,2.3088,2.1626,2.4643,2.2312,1.982,2.4542,2.4157,0.2815,0.1024,0.3445,2.1889,2.8603,2.2984,2.4173,2.7471,1.6416,4.3437,3.3362,2.8262,2.7986,3.1698,2.9167,2.5474,2.39,3.3733,2.7278,2.5018,2.6206,2.7614,0.574,0.864,3.9884,3.0572,3.6142,1.994,3.611,3.2403,3.7104,0,2.1378,3.4172,2.6523,2.8365,3.221,2.2359,3.342,4.7362,2.9337,0,2.8182,1.2258
EXOC6B_Exocyst complex component 6B,0.9249,0.897,0.5342,0.4392,0.8248,2.2049,0.752,0.5487,0.2212,0.8163,0.5699,0.5052,0.7405,0.5462,0.7912,1.0953,0.7564,1.0821,0.7756,1.4274,0.6823,0.9238,1.3395,0.7637,0,0.8776,0.9376,1.7292,1.1366,0.763,1.3086,0.9409,0.383,0.7176,1.4381,1.5901,0.8815,0.7931,1.1774,0,0.9018,0.5399,0.6422,0.4456,0.6656,1.2122,1.0827,0.5878,1.3381,1.8228,0.6403,0.1946,0.8863,0.4824
"EXOC7;GN=;GN=;GN=;GN=_Exocyst complex component 7;Isoform of Q9UPT5, Isoform 1 of Exocyst complex component 7;Isoform of Q9UPT5, Isoform 2 of Exocyst complex component 7;Isoform of Q9UPT5, Isoform 5 of Exocyst complex component 7;Isoform of Q9UPT5, Isoform 6 of Exocyst complex component 7",2.5626,2.5746,1.1929,1.7655,1.4934,2.3528,0.8296,1.3317,1.0009,1.6782,0.6724,0.7041,0.0111,1.467,1.924,1.6635,2.3962,2.1997,1.5197,2.7859,1.4677,1.0879,1.5822,1.7994,1.6788,1.9476,1.6765,2.0905,1.8846,1.5898,0.9309,1.7607,0.44,0.0018,2.8602,2.2752,2.4441,1.5861,2.6688,2.4109,2.1949,1.866,1.8466,1.6962,2.0783,2.2176,2.2924,2.1309,2.9943,3.3108,1.8772,2.237,2.2771,0.4553
EXOC8_Exocyst complex component 8,4.9509,4.5228,3.9949,3.0774,6.1826,2.4688,4.8,4.104,2.2673,4.041,1.2637,0.1028,0.0077,3.2347,4.8653,4.4302,4.1632,4.4215,3.4663,7.7386,4.6984,5.1015,5.0904,4.3454,5.8815,4.6697,4.253,5.3364,7.0552,4.2633,4.2619,4.8487,1.1204,0.1724,5.4815,5.0632,5.0097,4.71,6.7581,5.9632,4.7111,3.1697,6.8136,4.0158,5.558,5.7106,5.1238,3.8182,6.3373,6.5122,5.7005,5.5841,5.3356,1.004
"EXOG_Nuclease EXOG, mitochondrial",1.3418,1.0245,0.5294,1.0607,0.5915,0.5765,0.7371,0.9348,0.9535,0.8611,0.2717,0.0036,0.0075,2.4657,3.1938,2.3138,0.6238,1.7782,2.1546,3.3347,0.7429,0.7298,2.3267,3.6663,1.8234,1.1888,1.4605,2.5701,1.7347,1.3048,0.6915,1.8947,0.9374,0.6183,3.2584,2.1743,3.8178,1.4211,1.4512,2.4614,1.3367,0,1.1199,2.0276,2.3026,0.7461,1.6904,1.138,1.902,2.5341,2.0009,0.7476,1.785,0.9241
"EXOSC10;GN=_Exosome component 10;Isoform of Q01780, Isoform 2 of Exosome component 10",1.4713,1.2388,0,1.1091,0,0,1.2032,1.7018,1.2871,0.8901,0.6891,0.3542,0.0935,0,0.8261,0,0,0,1.8904,2.5666,0,0,0,0,0,0,0,2.3434,2.2341,0,0,0.5478,0.9679,0.5262,1.8776,0,0,0,0,0,1.8156,0,0.7897,0,0,0,2.1498,0,0,0,0,0,0.3685,0.7524
EXOSC2_Exosome complex component RRP4,1.6684,0.8682,1.7742,1.6776,0.9134,2.1752,1.0317,2.0147,1.2829,1.4896,0.4828,0.0051,0.0071,1.8816,2.6786,2.2481,2.2726,2.6108,2.8758,3.9234,1.5186,1.2999,2.6931,1.4881,3.0881,1.8239,2.3632,3.2995,1.6677,1.893,1.7503,2.2987,0.7083,0.2237,2.9614,2.4498,2.6614,2.0432,4.5178,4.2627,2.6328,0.7515,0.9613,2.0634,2.0208,3.2597,3.9691,1.3758,3.5035,3.2191,2.1698,1.8525,2.5931,1.0679
EXOSC4_Exosome complex component RRP41,2.5083,1.6055,0,0.827,1.6741,1.032,2.5191,1.7491,1.5668,1.498,0.7973,0.0612,0.071,1.7444,1.9016,1.8794,1.551,1.5051,1.877,3.4369,2.4347,2.2485,1.7078,1.9259,2.0773,1.7306,1.5603,2.9238,1.4812,1.4426,2.8741,2.0168,0.5647,0.8193,3.0563,1.7287,2.6633,1.9414,2.5782,2.9153,3.0635,0.9619,2.2211,2.215,1.6297,1.518,1.1256,0.7897,2.5912,1.7796,1.9752,2.2833,2.0576,0.6914
EXOSC5_Exosome complex component RRP46,0.924,0,0,0,0,0,0,0,0,0.1027,0.308,0.1613,0.1613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXOSC6_Exosome complex component MTR3,2.9247,1.3168,1.4737,1.6599,1.6202,2.1252,2.4313,2.2657,2.0512,1.9854,0.5162,0.3123,0.1265,1.7228,1.7423,1.7845,2.0536,2.0772,2.3679,5.2283,3.0539,1.4818,3.0956,2.4925,1.7733,1.8113,1.9943,2.9857,1.8604,1.4902,2.7372,2.3196,0.8951,0.6984,2.6792,1.8202,2.551,1.6403,3.1436,2.7408,3.8933,0.4572,2.0529,2.6599,1.932,2.8726,2.3297,2.3392,2.5627,2.4413,2.3797,2.8324,2.4071,0.7088
EXOSC7_Exosome complex component RRP42,1.6432,1.6335,0.9486,1.1757,1.5345,1.6527,2.0186,1.808,1.2829,1.522,0.3314,0.0015,0.0118,1.6212,2.1184,1.9423,2.0353,1.8853,2.0901,2.9246,2.3445,1.4683,1.9781,2.0684,1.8556,2.1872,1.7567,2.4381,1.7738,1.9518,1.685,2.0069,0.3346,0.4712,2.5096,1.5872,2.2434,1.7243,3.5467,2.6308,2.6615,1.2315,1.4675,2.0039,1.714,1.3155,2.3982,1.6918,2.5645,2.9203,1.8219,2.1575,2.1217,0.6149
EXOSC8_Exosome complex component RRP43,3.4729,3.2735,2.2967,2.9647,3.8439,2.9532,3.4709,4.2737,2.2475,3.1997,0.6671,0.5452,0.2468,2.2353,3.3784,3.7716,3.7259,3.0695,3.1431,5.2163,3.9079,3.5522,2.9502,3.6027,2.4479,3.0338,2.9458,4.6042,2.3736,3.4415,3.4324,3.3796,0.7414,0.3374,4.7304,3.0389,3.7472,3.216,4.791,4.8908,5.7177,2.243,2.8143,3.2164,3.1508,2.3019,4.185,2.4163,4.2092,3.9768,3.2849,3.4116,3.6301,0.9761
"EXOSC9;GN=_Exosome complex component RRP45;Isoform of Q06265, Isoform 2 of Exosome complex component RRP45",1.2968,0.7683,1.5385,1.1313,0.4734,4.8127,0.7321,1.4568,1.2184,1.492,1.2948,0.6439,0.906,1.9144,1.7874,1.4778,1.6929,1.8701,1.444,1.825,1.1446,0.9806,2.1059,1.9153,1.9498,1.8306,1.4976,3.0658,1.4309,1.3691,0.4927,1.6553,0.5336,0.6439,3.6601,1.545,1.6493,0,2.7203,0,1.9051,0,0.6347,1.6013,1.2895,2.5667,2.5304,0,2.4958,2.3661,1.5496,1.3572,1.5484,1.0865
"EYA3;GN=;GN=_Eyes absent homolog 3;Isoform of Q99504, Isoform 4 of Eyes absent homolog 3;Isoform of Q99504, Isoform 5 of Eyes absent homolog 3",1.4481,2.0865,0.8806,0.9662,0,1.112,1.4701,1.4649,0.6992,1.1253,0.5911,0.3972,0.2862,0.7583,1.2569,1.2839,1.4857,1.2911,1.5148,1.6721,1.0766,1.0919,1.3575,1.9972,1.7037,1.4625,1.3874,1.3187,1.2348,1.4094,0,1.2946,0.4201,0.3766,2.0673,1.6437,2.1573,1.2818,2.7335,2.3104,1.2474,0,0,1.7586,0.7775,1.4437,1.9833,1.6064,1.7972,1.1167,2.4379,0,1.4646,0.8311
"EYA4;GN=_Eyes absent homolog 4;Isoform of O95677, Isoform 2 of Eyes absent homolog 4",1.6757,0.973,1.0937,0.8982,0,1.0814,1.2994,1.2351,0.4916,0.972,0.4847,0.0667,0.0263,1.7484,1.5209,1.5365,0,1.4604,1.3392,1.887,2.1976,0,1.4783,1.0918,1.6051,1.5577,1.8923,2.3337,1.4491,1.4146,1.0656,1.421,0.6109,0.4394,1.895,1.3311,1.6585,1.1677,2.508,1.9938,1.365,2.3154,1.2932,1.6511,2.1058,1.0631,2.1008,0,1.8893,2.4515,1.2079,0.3428,1.5744,0.6808
EZR_Ezrin,16.8069,29.5468,10.1415,6.7481,11.5816,22.8714,13.6598,10.8095,8.3851,14.5056,7.4257,0.5565,0.0688,13.6124,12.9542,11.0286,6.8128,9.7673,9.6153,12.1049,12.6517,12.1032,22.164,13.1077,16.4661,25.5088,8.2224,16.4873,16.0514,9.6883,7.2444,13.0884,4.8924,0.0006,28.5363,27.3038,11.4845,16.335,41.3832,18.1126,13.9934,18.6175,7.6962,42.2059,12.8474,38.7774,58.1559,4.7748,24.723,42.6411,19.2848,13.3769,24.4583,14.6897
F10_Coagulation factor X,7.9724,13.5647,5.3641,8.6832,13.6135,9.9906,12.2531,5.8804,5.5221,9.2049,3.345,0.1552,0.1272,3.4051,6.3828,6.8868,14.4652,8.982,4.1549,12.1384,8.0621,7.2845,4.2939,6.8917,6.34,7.3213,6.6191,9.1464,7.5199,7.5326,7.2511,7.4821,2.6317,0.0032,9.7207,6.9763,13.7503,5.594,12.0289,17.0601,16.4256,21.5289,12.6321,4.1973,7.7878,11.1014,9.215,19.3356,5.8547,14.462,13.9064,16.3439,12.1067,4.9589
F11_Coagulation factor XI,4.855,3.9757,0,3.4489,4.4388,3.4825,5.4256,16.4364,3.0634,5.014,4.5527,0.6511,0.64,1.8236,4.5985,2.827,5.0749,1.6599,2.6969,7.3208,3.0043,5.1904,2.7832,2.6135,4.0728,5.2649,3.3939,4.0612,13.4187,4.8067,4.2599,4.3817,2.6615,0.0949,3.8432,3.2013,4.6872,4.4815,6.1408,9.202,6.307,4.842,6.2557,2.77,4.3353,7.1611,9.6005,6.0948,5.6157,6.4495,4.143,5.5063,5.5909,1.8286
F11R_Junctional adhesion molecule A,0,0,2.5439,1.6954,0,4.7456,0,3.0797,2.4172,1.6091,1.7281,0.9562,0.935,1.3818,0,2.2763,0,2.802,1.4705,1.9461,0,0,2.0486,1.6449,2.6013,2.0568,2.4333,2.9529,2.0156,1.9483,0.8632,1.5801,1.0028,0.9543,2.8987,2.7595,0,2.4907,4.2808,2.8879,2.1524,0,0,1.5152,2.3513,0,0,1.4307,2.3632,2.9143,0,0,1.558,1.4095
F12_Coagulation factor XII,18.8273,14.8358,6.9759,11.5553,26.186,15.2614,20.2789,17.8323,5.6573,15.2678,6.5063,0.9772,0.0914,9.2435,17.0299,11.5006,18.7597,9.756,9.3705,22.5819,15.4828,13.9445,14.5528,13.6844,14.3943,11.2691,11.8222,21.8147,23.9614,14.3531,20.1744,15.2053,4.6092,0.0303,15.3038,12.3431,13.2468,15.8424,22.3988,28.4041,18.2273,22.7783,23.1886,12.1359,18.2397,21.5565,23.4744,23.6842,14.1189,28.4465,17.1402,16.7478,19.2932,5.1432
